Batch,Average Reward
3397,-3.757214069366455
3400,-4.796257972717285
3403,-5.111801624298096
3406,-3.6599860191345215
3409,-3.437122344970703
3412,-3.7702560424804688
3415,-3.8563365936279297
3418,-4.414704322814941
3421,-3.758997678756714
3424,-3.7047910690307617
3427,-3.478611707687378
3430,-3.5745692253112793
3433,-3.873918294906616
3436,-4.268300533294678
3439,-4.4000444412231445
3442,-5.839378356933594
3445,-3.869922161102295
3448,-4.65324068069458
3451,-3.950392007827759
3454,-3.80734920501709
3457,-3.2066681385040283
3460,-3.372565507888794
3463,-3.7282328605651855
3466,-3.91487717628479
3469,-3.876089334487915
3472,-3.8995184898376465
3475,-4.262439250946045
3478,-5.361369609832764
3481,-3.359682083129883
3484,-3.6679792404174805
3487,-3.750925302505493
3490,-4.080340385437012
3493,-3.9343080520629883
3496,-4.971142768859863
3499,-3.8826804161071777
3502,-3.7926855087280273
3505,-3.694092035293579
3508,-3.6422576904296875
3511,-3.5815584659576416
3514,-3.5262556076049805
